total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
486,C,418,W101,2023-02-27T09:37:20,BLK 686 WOODLANDS DRIVE 73,24936.0215,47134.7585,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5.0,2.15,N,1.4425443267234417,103.80578572471495
295,C,196,W13,2023-02-27T09:37:19,BLK 201/206 MARSILING DRIVE,21488.674,47244.6194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.4435372787950995,103.77480790698276
291,C,193,W48,2023-02-27T09:37:43,BLK 874A WOODLANDS STREET 81,23070.931,47203.7395,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.4431678994120059,103.78902604693761
452,C,336,W102,2023-02-27T09:37:27,BLK 687 WOODLANDS DRIVE 75,25028.4866,46986.64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.15,N,1.4412048068517567,103.80661662993373
50,C,2,W37,2023-02-27T09:37:24,BLK 816-821 WOODLANDS STREET 82,23227.4135,47060.8098,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N,1.4418753225467142,103.79043222000014
285,C,171,W52,2023-02-27T09:37:22,BLK 823A WOODLANDS STREET 82,23122.1725,47008.073,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N,1.4413983720664534,103.78948653597385
352,C,259,W64,2023-02-27T09:37:23,BLK 605A WOODLANDS DRIVE 42,23969.4738,46630.5468,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.4379842973747616,103.7971004181586
411,C,239,W17,2023-02-27T09:37:34,BLK 101-113 WOODLANDS ST 13,22249.7662,46486.5748,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.436681967868015,103.78164722176741
563,C,337,W18,2023-02-27T09:37:27,BLK 114-133 MARSILING RISE,22115.7552,46747.594,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.4390425021739406,103.7804429506256
382,C,302,W58,2023-02-27T09:37:33,BLK 895D WOODLANDS DRIVE 50,23429.9641,46416.6889,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.15,N,1.4360501619073838,103.79225243917492
355,C,271,W5,2023-02-27T09:37:44,BLK 10/13 MARSILING LANE,21865.5141,46936.8596,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.440754097260826,103.77819425199439
213,C,144,W5M,2023-02-27T09:37:28,BLK 13A MARSILING LANE,21927.7465,47034.7509,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8.0,2.15,N,1.441639403819997,103.77875344943124
628,C,394,W23,2023-02-27T09:37:37,BLK 336-350 WOODLANDS STREET 32,22191.7187,45992.2266,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.4322112517049528,103.78112571087026
304,C,187,W40,2023-02-27T09:37:43,BLK 837-850 WOODLANDS STREET 82,23403.6522,47029.9515,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.441596280822762,103.79201590186972
